Artist,Title ,Box
Pagliaro,Time Race,4
Paul Davis,Southern Tracks and Fantasies,4
Paul Finkleman,The Music Wheel,5
Paul Menard,Best Of,5
Perry Como,Merry Christmas,5
Placido Domingo With John Denver,Perhaps Love,5
Poco,Legacy,2
Poco,Legend,2
Poco,Rose of Cimarron,4
Poco,Seven,2
Poco,Under The Gun,2
Powder BLues,Uncut,4
Powder Blues,Uncut,4
Pure Prairie League,Busting Out,4
Raffi,Rise and Shine,5
Raffi,Singable Songs,9
Ray Bouvette,Red River Jig,8
Ray Price,The World Of Ray Price,9
Reg Bouvette,Red River Jig,8
Rita Coolidge,Any Time Anywhere,9
Robert Shaw,Joy To The World,9
Roger Hodgson,In The Eye Of The Storm,7
Roger Whitaker,All My Best,5
Roger Whitaker,Tidings of Comfort and Joy,5
Roger Whitaker,With Love,5
Royal Philharmonic Orchestra,Hooked on Classics,5
Split Enz,Time and Tide,7
Steve Forbett,Jack Rabbit Slim,3
Stevie Wonder,Woman In Red Soundtrack,7
Tennessee Ernie Ford,Amazing Grace,8
Terry Gibbs,I’m A Lady,7
The 5th Dimension,Greatest Hits,9
The Association,Birthday,6
The Association,Stop Your Motor,6
The Bells,Stay Awhile,3
The California Raisins,Self Titled,7
The Carpenters,A Song for You,3
The Carpenters,Now and Then,3
The Commodores,Midnight Magic,4
The Dirt Band,American Dream,8
The Dirt Band,Self Titled,8
The Edgar Winter Group,Shock Treatment,1
The Good Brothers,Live,8
The Good Brothers,Self Titled,1
The Judds,Self Titled,8
The Manhattan Transfer,Mecca For Moderns,7
The Manhatten Transfer,Mecca For Moderns,7
The Mersey Beats of Liverpool,A Hard Day’s Night,5
The Mormon Tabernacle Choir,The Spirit of Christmas,5
The Motels,Little Robbers,7
The Outlaws,Reward,8
The Platters,Golden Hits,9
The Pointer Sisters,Break Out,7
The Pointer Sisters,Breakout,7
The Pointer Sisters,Energy,9
The Surfaris,Hot City ‘65,4
The Symphony,Great Moments of Music,5
Turnabout,The Magic of Mozart,5
Valdy,Hot Rocks,4
Vangelis,Chariots of Fire,7
Various,12 Days of Christmas,5
Various,15 Hits of the Fifties,5
Various,16 Top Hits,5
Various,20 Power Hits,4
Various,20 Solid Hits,5
Various,25 Famous and Western Hits,8
Various,A Touch Of Country,8
Various,Audiophile Collection,8
Various,Golden Country Gospel,8
Various,Golden Fifties Greatest Hits,5
Various,Golden Treasures,5
Various,Hit Parade,5
Various,Hit Parade,5
Various,La Bamba Soundtrack,7
Various,Liverpool,5
Various,Nashville Country & Western,8
Various,Original Hits,5
Various,Star Extra,5
Various,Sundown,8
Various,Twenty Explosive Hits,5
Willie Nelson,Stardust,8
Zamifir,Tranquility,5
